
64.74.215.130 07:46:40 05.01.2017 /bad_bot/black_list.php  Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.27+ (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27
54.211.238.155 23:37:40 08.01.2017 /bad_bot/black_list.php  Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0
81.209.177.189 16:50:26 14.01.2017 /bad_bot/black_list.php  netEstate NE Crawler (+http://www.website-datenbank.de/)
81.209.177.136 16:54:51 14.01.2017 /bad_bot/black_list.php  netEstate NE Crawler (+http://www.website-datenbank.de/)
64.79.85.205 05:54:32 20.01.2017 /bad_bot/black_list.php  Mozilla/5.0 (compatible; SMTBot/1.0; +http://www.similartech.com/smtbot)
